id_developer,developer
1,10tons Ltd
2,11 bit studios
3,17-BIT
4,1C Entertainment
5,1C-Avalon
6,1C:InoCo
7,22cans
8,24 Caret Games
9,2D BOY
10,2DEngine.com
11,"2K Czech,Feral Interactive (Mac)"
12,2Play
13,2SD
14,2by3 Games
15,2dengine
16,3 Sprockets
17,3000AD
18,3D Realms
19,3D Realms (Apogee Software)
20,4 Head Studios
21,4A Games
22,4HEAD Studios
23,4gency
24,5 Bits Games
25,5 Lives Studios
26,5th Cell Media
27,773
28,777 Studios
29,800 North and Digital Ranch
30,9heads Game Studios
31,"A Sharp, LLC"
32,ACE Team
33,ACQUIRE Corp.
34,AGC
35,AMC
36,ARTDINK
37,ASK Homework
38,ASTRO PORT
39,Abbey Games
40,Abstraction Games
41,"Abstraction Games,The Bitmap Brothers"
42,Acclaim Studios Teeside
43,"Accolade, Inc"
44,Acid Nerve
45,Ackk Studios
46,Actalogic
47,Adventurous Productions
48,Ageod
49,Airtight Games
50,"Alan Hazelden,Lee Shang Lun"
51,Alastair John Jack
52,Alawar
53,Alawar Dreamdale
54,Alawar Entertainment
55,"Alawar,Whalebox Studio"
56,Aldorlea Games
57,Aleksey Abramenko
58,Alexander Bruce
59,Alice & Smith
60,Alientrap
61,Alkemi
62,Allgraf
63,Almost Human Games
64,AlphaNuts
65,Alternative Software Ltd
66,Amanita Design
67,Anarchy Enterprises
68,"Andre Chagas Silva,Anthony Septim"
69,Andrew Morrish
70,"AndrewMD5,Codeusa"
71,Andy Wallace
72,Angry Mob Games
73,Animation Arts
74,Anisoptera Games
75,Ankama Studio
76,Antiproto
77,Apeiron
78,"Apus Software,Three Donkeys LLC"
79,Arc System Works
80,"Arcen Games, LLC"
81,Archetype Global
82,ArenaNetÂ®
83,"Argonauts Interactive,Collectif NemoÃ¯d"
84,Arkane Studios
85,Arkedo
86,Arrowhead Game Studios
87,Artech Studios
88,Artery Games
89,Artifice Studio
90,"Artisiti,Studio Vrtinec"
91,"Arvi Teikari,Roope MÃ¤kinen"
92,Ascaron
93,Ascaron Entertainment ltd.
94,Ascension Entertainment LLC
95,Atelier 801
96,Aterdux Entertainment
97,AtomicTorch Studio
98,Autumn Moon
99,Avalanche Studios
